inci_name,cas_no,function,substance
Safflower Seed Oil Piperonyl Esters,,skin-conditioning,safflower seed oil piperonyl esters
Ethylhexyl Polyricinoleate,83856-22-8,emollient,ethylhexyl polyricinoleate
Cyclopia Genistoides Flowerleafstem Extract,93348-14-2,antioxidant; humectant; skin-conditioning,cyclopia genistoides flower/leaf/stem extract
Oryza Sativa Lees Water,68553-81-1,skin-conditioning,Water
Cetearyl Palmate,,emollient; emulsifying,cetearyl palmate
Nemacystus Decipiens Powder,,humectant; skin-protecting,nemacystus decipiens powder
Allantoin Glycyrrhetinic Acid,4572-09-2,skin-protecting; soothing,Corticosterone 21-stearate
Kluyveromyceslactobacillusophiopogon Japonicus Root Oil Ferment Filtrate,,antioxidant; skin-conditioning; skin-protecting,kluyveromyces/lactobacillus/ophiopogon japonicus root oil ferment filtrate
Epiphyllum Oxypetalum Flower Extract,,skin-conditioning,epiphyllum oxypetalum flower extract
Rubus Coreanus Root Extract,,skin-conditioning,rubus coreanus root extract
Euterpe Oleracea Pulp Powder,879496-95-4;906351-38-0,abrasive; antioxidant; skin-conditioning,euterpe oleracea pulp powder
Passiflora Edulis Peel Extract,91770-48-8,humectant,passiflora edulis peel extract
Sodium Succinoyl Gelatin,,skin-conditioning,sodium succinoyl gelatin
Olea Europaea Fruit Oil Ethyl Ester,,emollient; skin-conditioning; skin-protecting,olea europaea fruit oil ethyl ester
Pouzolzia Zeylanica Leafstem Extract,,humectant,pouzolzia zeylanica leaf/stem extract
Ziziphus Jujuba Fruit Extract,90045-99-1,skin-conditioning,ziziphus jujuba fruit extract
Tribulus Terrestris Fruitstem Extract,90131-68-3,skin-conditioning,"Tribulus terrestris, ext."
Citrus Limonfucus Serratus Extract,,skin-conditioning,citrus limon/fucus serratus extract
Tripeptide-46 Hexapeptide-40 Decapeptide-27 Methionyl Oligopeptide-91 Dipeptide-19 Sh-Polypeptide-2 Dipeptide-34 Sh-Polypeptide-11 Dipeptide-19 Oligopeptide-91,,skin-conditioning,tripeptide-46 hexapeptide-40 decapeptide-27 methionyl oligopeptide-91 dipeptide-19 sh-polypeptide-2 dipeptide-34 sh-polypeptide-11 dipeptide-19 oligopeptide-91
Oxalis Hedysaroides Extract,,skin-conditioning,oxalis hedysaroides extract
Acetylated Hydrogenated Vegetable Glyceride,174333-76-7,emollient; skin-conditioning,acetylated hydrogenated vegetable glyceride
Bis-Hydroxypropyl Dimethicone,,emollient; skin-conditioning,bis-hydroxypropyl dimethicone
Rosa Canina Flower Oil,84696-47-9,emollient; masking,rosa canina flower oil
Sh-Pentapeptide-40,,skin-conditioning,sh-pentapeptide-40
Thuja Koraiensis Extract,94465-82-4,antioxidant; skin-conditioning,thuja koraiensis extract
Acetyl Octapeptide-2,,skin-conditioning,acetyl octapeptide-2
Mycoleptodonoides Aitchisonii Mycelium Extract,,skin-conditioning,mycoleptodonoides aitchisonii mycelium extract
Guanidine Phosphate,5423-22-3,skin-conditioning,Monoguanidine phosphate
Anserine,584-85-0,antioxidant; humectant; skin-conditioning,beta-Ala-3-methyl-His
Eriocaulon Buergarianum Flowerstem Extract,,antioxidant; skin-conditioning,eriocaulon buergarianum flower/stem extract
Zinc Hydrolyzed Hyaluronate,,humectant; skin-conditioning,zinc hydrolyzed hyaluronate
Pediococcus Ferment Filtrate,,skin-conditioning,pediococcus ferment filtrate
Tripeptide-35,,skin-conditioning,tripeptide-35
Lactobacilluspueraria Lobata Root Extract Ferment Filtrate,,skin-conditioning,lactobacillus/pueraria lobata root extract ferment filtrate
Nonapeptide-29 Pentapeptide-4,,emollient; skin-conditioning; skin-protecting,nonapeptide-29 pentapeptide-4
Olive Oil Propylene Glycol Esters,,emollient,olive oil propylene glycol esters
Pinus Rigida Bark Extract,,skin-conditioning,pinus rigida bark extract
Safflower Oilpalm Oil Aminopropanediol Esters,,skin-conditioning,safflower oil/palm oil aminopropanediol esters
Ethyl Olivate,92044-99-0,emollient,"Fatty acids, olive-oil, Et esters"
Ailanthus Altissima Fruit Extract,90131-67-2,skin-protecting,ailanthus altissima fruit extract
Alpinia Formosana Leaf Oil,,humectant; skin-conditioning,alpinia formosana leaf oil
Gossypium Herbaceum Seedcake Extract,223749-08-4,skin-conditioning; uv-absorber,gossypium herbaceum seedcake extract
