inci_name,cas_no,function
SAFFLOWER SEED OIL PIPERONYL ESTERS,,en:skin-conditioning
ETHYLHEXYL POLYRICINOLEATE,83856-22-8,en:emollient
HC YELLOW NO. 10,109023-83-8,en:hair-dyeing
MAGNESIUM/ALUMINUM/ZINC/HYDROXIDE/CARBONATE,,"en:antidandruff, en:deodorant"
CYCLOPIA GENISTOIDES FLOWER/LEAF/STEM EXTRACT,93348-14-2,"en:antioxidant, en:humectant, en:skin-conditioning"
DECYL LAURATE,36528-28-6,
ORYZA SATIVA LEES WATER,68553-81-1,en:skin-conditioning
CETEARYL PALMATE,,"en:emollient, en:emulsifying"
NEMACYSTUS DECIPIENS POWDER,,"en:humectant, en:skin-protecting"
ACID BLUE 62,4368-56-3,"en:cosmetic-colorant, en:hair-dyeing"
LACTOBACILLUS/ARGININE/LYCIUM CHINENSE FRUIT EXTRACT FERMENT FILTRATE,,en:antioxidant
PEG-9 BORAGEATE,,en:emulsifying
ALLANTOIN GLYCYRRHETINIC ACID,4572-09-2,"en:skin-protecting, en:soothing"
KLUYVEROMYCES/LACTOBACILLUS/OPHIOPOGON JAPONICUS ROOT OIL FERMENT FILTRATE,,"en:antioxidant, en:skin-conditioning, en:skin-protecting"
POLYGLYCERYL-6 DISTEARATE,34424-97-0,en:emulsifying
EPIPHYLLUM OXYPETALUM FLOWER EXTRACT,,en:skin-conditioning
RUBUS COREANUS ROOT EXTRACT,,en:skin-conditioning
EUTERPE OLERACEA PULP POWDER,879496-95-4;906351-38-0,"en:abrasive, en:antioxidant, en:skin-conditioning"
TERMINALIA FERDINANDIANA FRUIT EXTRACT,,"en:antioxidant, en:bleaching"
PYRUS MALUS PEEL WAX,,en:not-reported
METHACRYLAMIDE,79-39-0,en:not-reported
CRATAEGUS OXYACANTHA FLOWER WATER,84603-61-2,en:masking
PASSIFLORA EDULIS PEEL EXTRACT,91770-48-8,en:humectant
SODIUM SUCCINOYL GELATIN,,en:skin-conditioning
OLEA EUROPAEA FRUIT OIL ETHYL ESTER,,"en:emollient, en:skin-conditioning, en:skin-protecting"
POUZOLZIA ZEYLANICA LEAF/STEM EXTRACT,,en:humectant
CI 77480,7440-57-5,en:cosmetic-colorant
CI 74100,574-93-6,en:cosmetic-colorant
HYDROXYMETHYLHEPTYL METHYL KETONE,67801-33-6,en:perfuming
ZIZIPHUS JUJUBA FRUIT EXTRACT,90045-99-1,en:skin-conditioning
ILEX PARAGUARIENSIS LEAF OIL,73296-98-7,en:perfuming
TRIBULUS TERRESTRIS FRUIT/STEM EXTRACT,90131-68-3,en:skin-conditioning
CITRUS LIMON/FUCUS SERRATUS EXTRACT,,en:skin-conditioning
