inci_name,cas_no,function,substance
SAFFLOWER SEED OIL PIPERONYL ESTERS,,skin-conditioning,safflower seed oil piperonyl esters
ETHYLHEXYL POLYRICINOLEATE,83856-22-8,emollient,ethylhexyl polyricinoleate
CYCLOPIA GENISTOIDES FLOWER/LEAF/STEM EXTRACT,93348-14-2,antioxidant; humectant; skin-conditioning,cyclopia genistoides flower/leaf/stem extract
ORYZA SATIVA LEES WATER,68553-81-1,skin-conditioning,Water
CETEARYL PALMATE,,emollient; emulsifying,cetearyl palmate
NEMACYSTUS DECIPIENS POWDER,,humectant; skin-protecting,nemacystus decipiens powder
ALLANTOIN GLYCYRRHETINIC ACID,4572-09-2,skin-protecting; soothing,Corticosterone 21-stearate
KLUYVEROMYCES/LACTOBACILLUS/OPHIOPOGON JAPONICUS ROOT OIL FERMENT FILTRATE,,antioxidant; skin-conditioning; skin-protecting,kluyveromyces/lactobacillus/ophiopogon japonicus root oil ferment filtrate
EPIPHYLLUM OXYPETALUM FLOWER EXTRACT,,skin-conditioning,epiphyllum oxypetalum flower extract
RUBUS COREANUS ROOT EXTRACT,,skin-conditioning,rubus coreanus root extract
EUTERPE OLERACEA PULP POWDER,879496-95-4;906351-38-0,abrasive; antioxidant; skin-conditioning,euterpe oleracea pulp powder
PASSIFLORA EDULIS PEEL EXTRACT,91770-48-8,humectant,passiflora edulis peel extract
SODIUM SUCCINOYL GELATIN,,skin-conditioning,sodium succinoyl gelatin
OLEA EUROPAEA FRUIT OIL ETHYL ESTER,,emollient; skin-conditioning; skin-protecting,olea europaea fruit oil ethyl ester
POUZOLZIA ZEYLANICA LEAF/STEM EXTRACT,,humectant,pouzolzia zeylanica leaf/stem extract
ZIZIPHUS JUJUBA FRUIT EXTRACT,90045-99-1,skin-conditioning,ziziphus jujuba fruit extract
TRIBULUS TERRESTRIS FRUIT/STEM EXTRACT,90131-68-3,skin-conditioning,"Tribulus terrestris, ext."
CITRUS LIMON/FUCUS SERRATUS EXTRACT,,skin-conditioning,citrus limon/fucus serratus extract
TRIPEPTIDE-46 HEXAPEPTIDE-40 DECAPEPTIDE-27 METHIONYL OLIGOPEPTIDE-91 DIPEPTIDE-19 SH-POLYPEPTIDE-2 DIPEPTIDE-34 SH-POLYPEPTIDE-11 DIPEPTIDE-19 OLIGOPEPTIDE-91,,skin-conditioning,tripeptide-46 hexapeptide-40 decapeptide-27 methionyl oligopeptide-91 dipeptide-19 sh-polypeptide-2 dipeptide-34 sh-polypeptide-11 dipeptide-19 oligopeptide-91
OXALIS HEDYSAROIDES EXTRACT,,skin-conditioning,oxalis hedysaroides extract
ACETYLATED HYDROGENATED VEGETABLE GLYCERIDE,174333-76-7,emollient; skin-conditioning,acetylated hydrogenated vegetable glyceride
BIS-HYDROXYPROPYL DIMETHICONE,,emollient; skin-conditioning,bis-hydroxypropyl dimethicone
ROSA CANINA FLOWER OIL,84696-47-9,emollient; masking,rosa canina flower oil
HYDROGENATED TALLOWAMINE OXIDE,61788-94-1,antistatic; cleansing; foam-boosting; hydrotrope; surfactant; viscosity-controlling,hydrogenated tallowamine oxide
OLEOYL EPOXY RESIN,,film-forming,oleoyl epoxy resin
SH-PENTAPEPTIDE-40,,skin-conditioning,sh-pentapeptide-40
THUJA KORAIENSIS EXTRACT,94465-82-4,antioxidant; skin-conditioning,thuja koraiensis extract
ACETYL OCTAPEPTIDE-2,,skin-conditioning,acetyl octapeptide-2
MYCOLEPTODONOIDES AITCHISONII MYCELIUM EXTRACT,,skin-conditioning,mycoleptodonoides aitchisonii mycelium extract
GUANIDINE PHOSPHATE,5423-22-3,skin-conditioning,Monoguanidine phosphate
ANSERINE,584-85-0,antioxidant; humectant; skin-conditioning,beta-Ala-3-methyl-His
ERIOCAULON BUERGARIANUM FLOWER/STEM EXTRACT,,antioxidant; skin-conditioning,eriocaulon buergarianum flower/stem extract
ZINC HYDROLYZED HYALURONATE,,humectant; skin-conditioning,zinc hydrolyzed hyaluronate
PEDIOCOCCUS FERMENT FILTRATE,,skin-conditioning,pediococcus ferment filtrate
TRIPEPTIDE-35,,skin-conditioning,tripeptide-35
PEG-115M,25322-68-3,binding; emulsion-stabilising; viscosity-controlling,Ethylene Glycol
GRATELOUPIA LIVIDA POWDER,,viscosity-controlling,grateloupia livida powder
