inci_name,cas_no,function,substance
terminalia ferdinandiana fruit extract,,antioxidant; bleaching,terminalia ferdinandiana fruit extract
hydroxymethylheptyl methyl ketone,67801-33-6,perfuming,"2-nonanone, 3-(hydroxymethyl)-"
ilex paraguariensis leaf oil,73296-98-7,perfuming,ilex paraguariensis leaf oil
nicotiana tabacum leaf extract,84961-66-0,perfuming; skin-conditioning,nicotiana tabacum leaf extract
vaccinium virgatum callus extract,,antioxidant; antiseborrhoeic; hair-conditioning; humectant; skin-protecting,vaccinium virgatum callus extract
myristalkonium chloride,139-08-2,preservative,benzyldimethyltetradecylammonium chloride
citronellyl methylcrotonate,20770-40-5,masking; perfuming,sinodor
linalyl phenylacetate,7143-69-3,perfuming,5-(arabino-tetrahydroxybutyl)-2-methyl-3-furoic acid
trans-methoxypropoxyhexene,97358-54-8,perfuming,bean hexene
citronellyl propionate,141-14-0,perfuming,citronellyl propionate
lactoscatone,21280-29-5,perfuming,lactoscatone
petroselinum crispum seed oil,84012-33-9,masking; perfuming,petroselinum crispum seed oil
coptis japonica rhizome extract,223748-66-1,antimicrobial; skin-conditioning,coptis japonica rhizome extract
isopropyl alcohol,67-63-0,antifoaming; perfuming; solvent; viscosity-controlling,isopropanol
p-anisonitrile,874-90-8,perfuming,4-methoxybenzonitrile
citronellyl benzoate,10482-77-6,perfuming,"6-octen-1-ol, 3,7-dimethyl-, 1-benzoate"
phenylethoxyacetaldehyde,41847-88-5,perfuming,3-phenylpiperidine
isopropyl isovalerate,32665-23-9,perfuming,isopropyl isovalerate
4-methyl-3-decen-5-ol,81782-77-6,perfuming,4-methyl-3-decen-5-ol
lauralkonium bromide,7281-04-1,antistatic; preservative,benzododecinium
2-methylnaphthalene,91-57-6,perfuming,2-methylnaphthalene
gamma-undecalactone,104-67-6,perfuming; skin-conditioning,gamma-undecalactone
aluminum zirconium octachlorohydrate,98106-55-9,antiperspirant; astringent; deodorant,aluminum zirconium pentachlorohydrate (usp)
paeonia suffruticosa phytoplacenta extract,,antimicrobial; antioxidant; hair-conditioning; skin-conditioning,paeonia suffruticosa phytoplacenta extract
veratraldehyde,120-14-9,perfuming,veratraldehyde
decyl acetate,112-17-4,perfuming,decyl acetate
2-undecenol,37617-03-1,perfuming,undec-2-enol
2‚4-dimethyl-4‚4a,27606-09-3,perfuming,"indeno[1,2-d]-1,3-dioxin, 4,4a,5,9b-tetrahydro-2,4-dimethyl-"
pinus nigra twig leaf oil,90082-74-9,perfuming,pinus nigra twig leaf oil
kazachstania/cornus officinalis fruit extract ferment filtrate,,bleaching; emollient; skin-conditioning,kazachstania/cornus officinalis fruit extract ferment filtrate
benzyl salicylate,118-58-1,perfuming; uv-absorber,benzyl salicylate
isobutyl tiglate,61692-84-0,perfuming,2-methylpropyl 2-methylbut-2-enoate
pentamethylcyclopent-3-ene-butanol,65113-99-7,perfuming,sandalore
2-dimethylbicyclohept-2-ylidene ethanol,2226-05-3,perfuming,diisoamyl disulfide
4-methyl-1-oxaspiroundecene,68228-06-8,perfuming,"benzenesulfonamide, 4-((4-ethoxyphenyl)amino)-n,n-dimethyl-3-nitro-"
malva sylvestris callus extract,,antimicrobial; antioxidant; hair-conditioning; humectant; skin-conditioning; skin-protecting,malva sylvestris callus extract
pinus halepensis needle extract,,antimicrobial; antioxidant; antiseborrhoeic,pinus halepensis needle extract
betaphycus gelatinum extract,,bleaching,betaphycus gelatinum extract
1‚5-dimethyl-1-vinylhex-4-enyl hexanoate,7779-23-9,perfuming,methylarsonic acid
linalool,78-70-6,deodorant; perfuming,linalool
chaetomorpha solitaria callus culture extract,,antimicrobial; antioxidant; hair-conditioning; skin-protecting,chaetomorpha solitaria callus culture extract
centipeda cunninghamii leaf/stem extract,,antioxidant; antiseborrhoeic; skin-protecting,centipeda cunninghamii leaf/stem extract
pyroligneous acids extracts,8028-47-5,perfuming,pyroligneous acids extracts
steapyrium chloride,14492-68-3 / 1341-08-8,antimicrobial; antistatic,steapyrium chloride
citrus limon fruit oil,8008-56-8,astringent; tonic,citrus limon fruit oil
mentha piperita american extract/hydrogen sulfide,94334-25-5,perfuming,mentha piperita american extract/hydrogen sulfide
nitrofurazone,59-87-0,antimicrobial,2-[(5-nitro-2-furanyl)methylene]-hydrazinecarboxamide
phenylpropionaldehyde,1335-10-0,perfuming,2-phenylpropanal
cinnamal,104-55-2,denaturant; flavouring; perfuming,3-phenylprop-2-enal
isopropyl phenylacetate,4861-85-2,perfuming,isopropyl phenylacetate
chlorhexidine diundecylenate,1884575-91-0,antimicrobial; deodorant; oral-care,"n,n'-bis(n-(n-(4-chlorophenyl)carbamimidoyl)carbamimidoyl)hexane-1,6-bis(aminium) diundec-10-enoate"
2-sec-butylcyclohexanone,14765-30-1,perfuming,2-sec-butyl cyclohexanone
methyl benzoate,93-58-3,perfuming; preservative; skin-conditioning; solvent,methyl benzoate
methyl beta-naphthyl ether,93-04-9,perfuming,2-methoxynaphthalene
monascus/paeonia suffruticosa flower/rice bran ferment filtrate,,antiseborrhoeic; skin-conditioning,monascus/paeonia suffruticosa flower/rice bran ferment filtrate
1-isopropyl-4-methylbicyclooctene-2-carbaldehyde,67920-94-9,perfuming,"bicyclo[2.2.2]oct-5-ene-2-carboxaldehyde, 4-methyl-1-(1-methylethyl)-"
ocimum basilicum flower/leaf/stem water,84775-71-3,masking; perfuming,ocimum basilicum flower/leaf/stem water
juniperus virginiana extract epoxidized,100209-33-4,perfuming,juniperus virginiana extract epoxidized
bacillus/monascus/plukenetia volubilis seed/rice bran ferment filtrate,,antimicrobial; antioxidant; skin-protecting,bacillus/monascus/plukenetia volubilis seed/rice bran ferment filtrate
galla rhois gallnut extract,,antimicrobial; antioxidant,galla rhois gallnut extract
dendropanax morbiferus callus culture extract,,antimicrobial; antioxidant; hair-conditioning; skin-conditioning; skin-protecting,dendropanax morbiferus callus culture extract
pelargonium graveolens flower water,90082-51-2 / 8000-46-2,astringent; deodorant; hair-conditioning; masking,pelargonium graveolens flower water
abies veitchii leaf extract,,astringent; humectant,abies veitchii leaf extract
ocimum americanum leaf/stem oil,91845-26-0,masking; perfuming,ocimum americanum leaf/stem oil
isobutylparaben,4247-02-3,antimicrobial,isobutylparaben
sodium hinokitiol,17387-01-8,antimicrobial,sodium hinokitiol
cinnamomum camphora formosana root extract,92704-03-5,perfuming,cinnamomum camphora formosana root extract
lactobacillus/(cinnamomum cassia/magnolia) bark/(alpinia officinarum/angelica gigas) root ferment extract filtrate,,antimicrobial,lactobacillus/(cinnamomum cassia/magnolia) bark/(alpinia officinarum/angelica gigas) root ferment extract filtrate
ranunculus pygmaeus callus culture extract,,antimicrobial; antioxidant; hair-conditioning; skin-protecting,ranunculus pygmaeus callus culture extract
hexahydro-dimethylspiromethanonaphthalene-oxirane,41723-98-2 / 41816-03-9,perfuming,hexahydro-dimethylspiromethanonaphthalene-oxirane
adamantanyl hydroxybenzamide,,antioxidant; bleaching; skin-protecting,adamantanyl hydroxybenzamide
nopol,128-50-7,perfuming,nopol
cuminyl acetate,59230-57-8,perfuming,p-isopropylbenzyl acetate
butyl butyrolactate,7492-70-8,perfuming,butyl butyryllactate
neopentanal butenyleneglycol acetal,53338-06-0,perfuming,"1,3-dioxepin, 2-(1-ethylpropyl)-4,7-dihydro-"
terpinyl propionate,80-27-3,perfuming,terpinyl propionate
rhododendron mucronulatum flower extract,,antioxidant; astringent; emollient; skin-conditioning; skin-protecting,rhododendron mucronulatum flower extract
rosa moschata leaf extract,,astringent,rosa moschata leaf extract
p-tolyl phenylacetate,101-94-0,perfuming,p-cresyl phenylacetate
aster spathulifolius phytoplacenta extract,,antimicrobial; hair-conditioning; humectant; skin-conditioning; skin-protecting,aster spathulifolius phytoplacenta extract
methyl linoleate,112-63-0,emollient; perfuming; skin-conditioning,"methyl 9,12-octadecadienoate"
thymus serpillum oil,84776-98-7,perfuming,thymus serpillum oil
p-tert-butyl acetophenone,943-27-1,perfuming,p-tert-butylacetophenone
carpinus laxiflora stem extract,,antimicrobial; antioxidant; astringent; emollient,carpinus laxiflora stem extract
3‚5-dimethylcyclohexene-1-methanol,67634-16-6,perfuming,"(3,5-dimethylcyclohex-3-en-1-yl)methanol"
isopropyl cinnamate,7780-06-5,perfuming,cinnamic acid isopropyl ester
hydrogenated nepeta cataria oil,84929-35-1,antimicrobial,hydrogenated nepeta cataria oil
commiphora gileadensis branch/fruit/leaf extract,,antimicrobial; antioxidant; astringent; uv-filter,commiphora gileadensis branch/fruit/leaf extract
alpha-terpinene,99-86-5,perfuming,alpha-terpinene
sh-oligopeptide-81 amide,,antimicrobial; antiplaque; antiseborrhoeic; humectant; oral-care,sh-oligopeptide-81 amide
evernia furfuracea lichen extract,90028-67-4 / 68648-41-9 / 68917-40-8,perfuming,evernia furfuracea lichen extract
juniperus virginiana wood extract,85085-41-2,perfuming; tonic,juniperus virginiana wood extract
butylquinoline,53452-65-6,perfuming,6-butylquinoline
aluminum citrate,813-92-3,antiperspirant; astringent; deodorant,aluminum citrate
antrodia cinnamomea ferment filtrate powder,,antioxidant; bleaching; skin-conditioning; skin-protecting,antrodia cinnamomea ferment filtrate powder
4-ethylguaiacol,2785-89-9,perfuming,4-ethylguaiacol
3-heptenyl isobutyrate,67801-45-0,perfuming,hept-3-enyl isobutyrate
lauryl isoquinolinium saccharinate,,antimicrobial; antistatic,lauryl isoquinolinium saccharinate
paulownia imperialis bark/flower/leaf extract,,astringent; hair-conditioning; skin-conditioning; soothing,paulownia imperialis bark/flower/leaf extract
2-ethyl-4-hydroxy-5-methylfuran-3(2h)-one,27538-10-9,perfuming,homofuraneol
phenylacetaldehyde glyceryl cyclic acetals,29895-73-6,perfuming,"2-(phenylmethyl)-1,3-dioxolane-4-methanol"
hypericum perforatum phytoplacenta culture extract,,antimicrobial; antioxidant; hair-conditioning; humectant,hypericum perforatum phytoplacenta culture extract
lysophosphatidylcholinylchlorin e6,,antioxidant; antiseborrhoeic,lysophosphatidylcholinylchlorin e6
bacillus/nelumbo nucifera leaf extract ferment filtrate,,antimicrobial; antioxidant,bacillus/nelumbo nucifera leaf extract ferment filtrate
3-butenyl phenyl ketone,3240-29-7,perfuming,"4-penten-1-one, 1-phenyl-"
guaiene,88-84-6,perfuming,"1,4-dimethyl-7-(propan-2-ylidene)-1,2,3,4,5,6,7,8-octahydroazulene"
caproic acid,142-62-1,cleansing; emulsifying; masking; perfuming; surfactant,hexanoic acid
3-methyldodecanonitrile,85351-07-1,perfuming,3-methyldodecanonitrile
agrimonia eupatoria root extract,84775-40-6,antioxidant; astringent,agrimonia eupatoria root extract
cotinus coggygria branch/leaf oil,89997-96-6,flavouring; masking; perfuming,cotinus coggygria branch/leaf oil
ethyl 2-methylbutyrate,7452-79-1,perfuming,ethyl 2-methylbutyrate
delta-decalactone,705-86-2,masking; perfuming,delta-decalactone
cinnamomum cassia wood extract,84961-46-6,perfuming,cinnamomum cassia wood extract
hexahydro-tetramethyl-methanonaphthalene-8-methanol,61826-53-7,perfuming,"[(8s)-2,2,7,7-tetramethyl-5-tricyclo[6.2.1.01,6]undec-5-enyl]methanol"
ethyl propyl ketone,589-38-8,perfuming,3-hexanone
benzoic acid,65-85-0,bulking; masking; preservative,benzoate
dimethylcyclohexenyl methyl ketone,22463-19-0,perfuming,"ethanone, 1-(3,3-dimethyl-1-cyclohexen-1-yl)-"
rubus fruticosus fruit extract,84787-69-9,astringent; masking; tonic,rubus fruticosus fruit extract
octenidine hcl,70775-75-6,antimicrobial,octenidine hydrochloride
adiantum pedatum extract,165800-54-4,antidandruff; astringent,adiantum pedatum extract
citrus aurantium bergamia leaf oil,89957-91-5,astringent,citrus aurantium bergamia leaf oil
sulfur,7704-34-9,antidandruff; antiseborrhoeic; antistatic; hair-conditioning; skin-conditioning,hydrogen sulfide
calcium sorbate,7492-55-9,preservative,"calcium;hexa-2,4-dienoate"
dendropanax morbiferus phytoplacenta extract,,antimicrobial; antioxidant; hair-conditioning; skin-protecting,dendropanax morbiferus phytoplacenta extract
bacillus/tagetes patula flower/soybean ferment filtrate,,antioxidant; antiseborrhoeic; skin-protecting,bacillus/tagetes patula flower/soybean ferment filtrate
triethylene glycol,112-27-6,masking; perfuming; viscosity-controlling,triethylene glycol
crataegus oxyacantha stem extract,84603-61-2 / 8057-51-0,antimicrobial,crataegus oxyacantha stem extract
ethyl linoleate,544-35-4,emollient; perfuming,"ethyl 9,12-octadecadienoic acid"
lindera umbellata leaf/twig oil,,antimicrobial; emollient; masking; skin-conditioning,lindera umbellata leaf/twig oil
sodium/aluminum/iron/sulfate/citrate/hydroxide,,antimicrobial; deodorant; humectant; opacifying; uv-absorber,sodium/aluminum/iron/sulfate/citrate/hydroxide
sodium magnesium silver phosphate,,antimicrobial,sodium magnesium silver phosphate
cyclopentanone,120-92-3,perfuming,cyclopentanone
2-ethyl-3,27043-05-6,perfuming,"3-ethyl-2,5-dimethylpyrazine"
calophyllum inophyllum seed oil,,antimicrobial; antioxidant; hair-conditioning; oral-care; skin-conditioning; uv-absorber,calophyllum inophyllum seed oil
aluminum lactate,18917-91-4,astringent; buffering; deodorant,2-hydroxypropanoic acid aluminium salt
salvia hispanica herb extract,93384-40-8,perfuming,salvia hispanica herb extract
prenyl benzoate,5205-11-8,perfuming,prenyl benzoate
cyclohexylethyl crotonate,68039-69-0,perfuming,1-cyclohexylethyl 2-butenoate
pinus cembra twig leaf extract,92202-04-5,perfuming,pinus cembra twig leaf extract
isoamylbenzoate,94-46-2,perfuming,isoamyl benzoate
rhodopseudomonas/paba ferment,,bleaching; skin-conditioning,rhodopseudomonas/paba ferment
cinnamomum camphora linalooliferum leaf extract,91745-89-0,perfuming,cinnamomum camphora linalooliferum leaf extract
cymbopogon winterianus herb oil,91771-61-8,perfuming,cymbopogon winterianus herb oil
trimethyl-1-cyclohexenylacrylonitrile,72214-33-6,perfuming,"3-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-propenenitrile"
3-ethyl-2-hydroxy-4-methylcyclopent-2-en-1-one,42348-12-9,perfuming,2-(6-methyl-1h-benzimidazol-2-yl)guanidine
4-formyl-2-methoxyphenyl isobutyrate,20665-85-4,perfuming,vanillin isobutyrate
isopropylchromenamido fluorobenzyl methanesulfonamide,,antioxidant; bleaching; skin-protecting,isopropylchromenamido fluorobenzyl methanesulfonamide
ocimene,13877-91-3,perfuming,beta-ocimene
ethyl lactate,97-64-3,perfuming; solvent,ethyl lactate
saccharomyces/acanthopanax sessiliflorus extract ferment filtrate,,antimicrobial; antioxidant; hair-conditioning; humectant; skin-protecting,saccharomyces/acanthopanax sessiliflorus extract ferment filtrate
myrica cerifera bark extract,84929-34-0,astringent,myrica cerifera bark extract
isobutyl hexanoate,105-79-3,perfuming,isobutyl hexanoate
mucor miehei extract,,astringent,mucor miehei extract
amyl phenylacetate,5137-52-0,perfuming,pentyl phenylacetate
undecyleneth-6,,antidandruff; antimicrobial; emulsifying; surfactant,undecyleneth-6
nonanal,124-19-6,perfuming,nonanal
tetrahydro-2-isobutyl-4-methyl-2h-pyran,13477-62-8,perfuming,7-[2-(3-hydroxyoct-1-enyl)-5-oxocyclopenten-1-yl]hept-5-enoic acid
melozone,30772-79-3,perfuming,"4,7-methano-1h-indenecarboxaldehyde, octahydro-"
manicouagan clay,,absorbent; astringent; surfactant,manicouagan clay
2-trans,67674-47-9,perfuming,"2,6-nonadien-1-ol, acetate, (2e,6e)-"
pimenta racemosa fruit leaf extract,85085-61-6,perfuming,pimenta racemosa fruit leaf extract
sclareol,515-03-7,perfuming,"(1r,2r,8as)-1-[(3r)-3-hydroxy-3-methylpent-4-enyl]-2,5,5,8a-tetramethyl-3,4,4a,6,7,8-hexahydro-1h-naphthalen-2-ol"
menaquinone-7,2124-57-4,antiseborrhoeic; astringent; bleaching; skin-protecting; uv-filter,vitamin k2-7;vitamin k2(35);vitamin mk-7
silene uralensis callus culture extract,,antimicrobial; antioxidant; hair-conditioning; skin-protecting,silene uralensis callus culture extract
2-cyclohexenyl cyclohexanone,1502-22-3,perfuming,2-cyclohexylcyclohexanone
sodium benzoate,532-32-1,anticorrosive; masking; preservative,benzoate
butenyl isoamyloxyacetate,72894-11-2,perfuming,buten-2-yl (3-methylbutoxy)acetate
trans-2-hexenyl butyrate,53398-83-7,perfuming,hex-2-enyl butyrate
vinylpyridine/tetrahydrodimethyl-methano-indene,125352-06-9,perfuming,vinylpyridine/tetrahydrodimethyl-methano-indene
phenyl salicylate,118-55-8,antimicrobial; denaturant; perfuming,phenyl salicylate
dihexyl fumarate,19139-31-2,perfuming,dihexyl but-2-enedioate
jasminum sambac leaf cell extract,91770-17-8,flavouring; masking; perfuming; skin-protecting,jasminum sambac leaf cell extract
aspergillus/thyme/root/lysimachia foenum-graecum/poria cocos/atractylodes japonica rhizome/ magnolia liliflora bud/ vitex trifolia fruit/bambusa vulgaris leaf/stem ferment filtrate,,antimicrobial,aspergillus/thyme/root/lysimachia foenum-graecum/poria cocos/atractylodes japonica rhizome/ magnolia liliflora bud/ vitex trifolia fruit/bambusa vulgaris leaf/stem ferment filtrate
aluminum sesquichlorohydrex pg,245090-60-2,antiperspirant; astringent; deodorant,aluminum sesquichlorohydrex pg
3‚5-dimethyl-3-cyclohexene-1-carbaldehyde,68039-48-5,perfuming,"3,5-dimethyl-3-cyclohexene carboxaldehyde"
mauloutchia humblotii seed butter,,antimicrobial; hair-conditioning; humectant; skin-conditioning; skin-protecting,mauloutchia humblotii seed butter
myristamidopropalkonium chloride,15809-19-5,antidandruff; antimicrobial; antiplaque,myramistin
methyl valerate,624-24-8,perfuming,methyl valerate
rosa canina flower extract,84696-47-9,astringent,rosa canina flower extract
endo-1‚2,28462-85-3,perfuming,"bicyclo(2.2.1)heptan-2-ol, 1,2,3,3-tetramethyl-, (1r,2r,4s)-rel-"
ethyl methylbutyl ketoxime,22457-23-4,masking; perfuming,3-methyl-5-heptanone oxime
nepeta cataria flower extract,84929-35-1,perfuming,nepeta cataria flower extract
methyl hexyl cyclopentanone carboxylate,37172-53-5,perfuming,"n,n-diethyl-2,5-diethoxyaniline"
dithiomethylbenzamide,2527-58-4,antimicrobial,"dithio-2,2'-bis(n-methylbenzamide)"
benzhydrol,91-01-0,perfuming,benzyl alcohol
aniba rosaeodora wood extract,83863-32-5,masking; perfuming,aniba rosaeodora wood extract
ethyl isobutyrate,97-62-1,perfuming,ethyl isobutyrate
methyl-isopropylcyclohexanol,21129-27-1,perfuming,p-menthan-8-ol
juniperus communis fruit oil,8002-68-4 / 73049-62-4 / 84603-69-0,masking; perfuming,juniperus communis fruit oil
pinus species twig leaf extract,94266-48-5,perfuming,water
salvia triloba leaf extract,85085-68-3,antimicrobial; astringent; oral-care,salvia triloba leaf extract
anacardoyl tripeptide-1,,antioxidant; bleaching; skin-protecting,anacardoyl tripeptide-1
dimethylbutyl crotonate,35206-51-0,perfuming,"1,3-dimethylbutyl 2-butenoate"
geranyl acetoacetate,10032-00-5,perfuming,"3,7-dimethylocta-2,6-dien-1-yl 3-oxobutanoate"
amylcyclopentanone,4819-67-4,perfuming,2-pentylcyclopentan-1-one
p-methylhydrocinnamic aldehyde,5406-12-2,perfuming,3-(p-methylphenyl)propanal
rosa damascena callus,,antimicrobial; antioxidant; antiseborrhoeic; hair-conditioning; skin-protecting,rosa damascena callus
dimethyltetrahydro benzaldehyde,68737-61-1,perfuming,isometamidium
bacillus/monascus/psilotum nudum leaf/rice bran ferment filtrate,,antiplaque; antiseborrhoeic; emollient; oral-care; skin-protecting,bacillus/monascus/psilotum nudum leaf/rice bran ferment filtrate
ruta graveolens herb oil,84929-47-5,perfuming,ruta graveolens herb oil
citrus limon leaf oil,92346-89-9 / 84929-31-7,masking; perfuming,citrus limon leaf oil
tert-butyl isopent-2-enthioate,34322-09-3,perfuming,s-sec-butyl 3-methylbut-2-enethioate
mentha spicata herb extract,84696-51-5,perfuming,mentha spicata herb extract
myrtenal,564-94-3,perfuming,myrtenal
isoeugenol,97-54-1,flavouring; perfuming,propenylguaiacol
thalassiosira pseudonana ferment filtrate,,bleaching; skin-conditioning,thalassiosira pseudonana ferment filtrate
cedrus atlantica bark extract,92201-55-3,perfuming; skin-conditioning,cedrus atlantica bark extract
juniperus virginiana extract oxidized,91722-62-2,perfuming,juniperus virginiana extract oxidized
sodium metabisulfite,7681-57-4 / 7757-74-6,antioxidant; preservative; reducing,sodium metabisulfite
isopropyl-methoxypyrazine,25773-40-4,perfuming,2-isopropyl-3-methoxypyrazine
camellia oleifera leaf extract,94333-93-4,astringent; skin-conditioning,camellia oleifera leaf extract
tetrahydro-p-cresyloxypyran,13481-09-9,perfuming,tetrahydro-2-(4-methylphenoxy)-2h-pyran
p-anisyl butyrate,6963-56-0,perfuming,"butyric acid, p-methoxyphenyl ester"
tioxolone,4991-65-5,astringent,"6-hydroxy-1,3-benzoxathiol-2-one"
cinnamomum cassia bark/syzgium aromaticum bud/rosmarinus officinalis leaf/thymus vulgaris leaf oil,,antimicrobial; antioxidant; antiplaque; antiseborrhoeic,cinnamomum cassia bark/syzgium aromaticum bud/rosmarinus officinalis leaf/thymus vulgaris leaf oil
2‚3-dimethyl-2-nonenenitrile,53153-67-6,perfuming,"2-nonenenitrile, 2,3-dimethyl-"
citral ethyleneglycol cyclic acetal,66408-78-4,perfuming,"2-(2,6-dimethylhepta-1,5-dienyl)-1,3-dioxolane"
ethoxy-p-cresol,2563-07-7,perfuming,"phenol, 2-ethoxy-4-methyl-"
nonyl acetate,143-13-5,emollient; perfuming,nonyl acetate
biotin,58-85-5,antiseborrhoeic; hair-conditioning; skin-conditioning,"5-(2-oxo-hexahydro-1h-thieno(3,4-d)imidazolidin-4-yl)pentanoic acid"
paullinia cupana fruit powder,84929-28-2,astringent,3-ethyl-4-methyldec-4-en-1-ol
lactobacillus/perilla frutescens leaf ferment extract filtrate,,antimicrobial; antioxidant,lactobacillus/perilla frutescens leaf ferment extract filtrate
genipa americana fruit juice,,masking; perfuming,genipa americana fruit juice
dibenzyl ether,103-50-4,perfuming,dibenzyl ether
2-nonylcrotonaldehyde,6720-16-7,perfuming,"undecanal, 2-ethylidene-"
cis-3-hexenyl lactate,61931-81-5,perfuming,hex-3-en-1-yl 2-hydroxypropanoate
malus baccata phytoplacenta culture extract,,antimicrobial; antioxidant; skin-conditioning; skin-protecting,malus baccata phytoplacenta culture extract
isoamyl butyrate,106-27-4,perfuming,isoamyl butyrate
dihydroocimenyl formate,25279-09-8,perfuming,2-hydroxy-4-nitrobenzaldehyde
cis-3-hexenyl anthranilate,65405-76-7,perfuming,hex-3-enyl 2-aminobenzoate
lophophytum elongatum extract,,bleaching; skin-conditioning,lophophytum elongatum extract
ocimum gratissimum herb oil,91770-38-6,perfuming,ocimum gratissimum herb oil
cistus ladaniferus twig oil,89997-74-0,perfuming,cistus ladaniferus twig oil
isopropyl cyclohexylpropionate,63449-95-6,masking; perfuming,chloromethyl acetate
trimethyl-1-cyclohexenylbutane-1‚3-dione,39900-12-4,perfuming,"1-(2,6,6-trimethyl-1-cyclohexen-1-yl)butane-1,3-dione"
2‚4-dimethylpyridine,108-47-4,perfuming,"2,4-dimethylpyridine"
heptyl formate,112-23-2,perfuming,heptyl formate
isomethyl-beta-ionone,79-89-0,perfuming,"3-methyl-4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-3-buten-2-one"
heptanoic acid,111-14-8,perfuming,heptanoic acid
oleyl alcohol,143-28-2 / 593-47-5,emollient; masking; perfuming; solvent; viscosity-controlling,oleyl alcohol
hexadecenyl stearylsuccinamide,,bleaching; emollient; humectant; skin-conditioning; skin-protecting,hexadecenyl stearylsuccinamide
allyl heptanoate,142-19-8,perfuming,allyl heptanoate
lycium chinense fruit/root extract,,bleaching; skin-conditioning,lycium chinense fruit/root extract
mentha spicata crispata herb oil,91770-68-2,perfuming,mentha spicata crispata herb oil
lavandula angustifolia phytoplacenta extract,,antimicrobial; astringent; hair-conditioning; skin-conditioning; skin-protecting,lavandula angustifolia phytoplacenta extract
r-porcine polypeptide-1,,astringent; humectant; skin-conditioning,r-porcine polypeptide-1
ethoxydiglycol,111-90-0,humectant; perfuming; solvent,diethyl malonate
smithsonite,3486-35-9 / 14476-25-6,astringent,smithsonite
butyldihydrodimethylpyran,24237-00-1,perfuming,"2h-pyran, 6-butyl-3,6-dihydro-2,4-dimethyl-"
ethyl beta-naphthyl ether,93-18-5,perfuming,2-ethoxynaphthalene
hexenyl acetate,3681-71-8 / 2497-18-9,flavouring; masking; perfuming,hexenyl acetate
prorocentrum micans cell extract,,antimicrobial; antioxidant; hair-conditioning; skin-conditioning,prorocentrum micans cell extract
3-methyl-1-phenyl-3-hexene 1‚5-epoxide,68039-41-8,perfuming,"ethyl hydrogen [[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]phosphonate"
decyl methyl ether,7289-52-3,perfuming,"decane, 1-methoxy-"
dimethyl phenylethyl carbinyl acetate,103-07-1,perfuming,2-methyl-4-phenyl-2-butyl acetate
betula ermanii stem extract,,antidandruff; antioxidant; astringent; hair-conditioning; skin-protecting,betula ermanii stem extract
cedryl formate,39900-38-4,perfuming,cedrol formate
bacillus/lactobacillus/streptococcus thermophilus/alpinia speciosa leaf extract ferment filtrate,,antioxidant; astringent; bleaching; skin-conditioning,bacillus/lactobacillus/streptococcus thermophilus/alpinia speciosa leaf extract ferment filtrate
nootkatone,4674-50-4,perfuming,nookatone
chlorine dioxide,10049-04-4,antimicrobial; deodorant,chlorous acid
cyclohexylethyl acetate,13487-27-9,masking; perfuming,"ethyl 5,5-dimethyl-2,4-dioxohexanoate"
2-ethylidenedecanal,64825-20-3,perfuming,2-ethylidenedecan-1-al
amyl formate,638-49-3,perfuming,pentyl formate
laevo-carvyl acetate,1205-42-1,perfuming,carvyl acetate
8-cedrene epoxide,13567-39-0,perfuming,alpha-cedrene epoxide
ribes nigrum bud oil,68606-81-5,perfuming,ribes nigrum bud oil
amylcinnamyl alcohol,101-85-9,perfuming,alpha-amylcinnamyl alcohol
octahydro-tetramethyl-1-naphthalenol,103614-86-4,perfuming,"2,2,6,8-tetramethyl-1,2,3,4,4a,5,8,8a-octahydronaphthalen-1-ol"
rubus villosus fruit extract,93165-71-0,astringent; tonic,rubus villosus fruit extract
citrus medica acida peel extract,93685-55-3,perfuming,citrus medica acida peel extract
ethyl tert-butyl-phenyl-methylene-aminobenzoate,94108-09-5,perfuming,"ethyl 2-[[[4-(1,1-dimethylethyl)phenyl]methylene]amino]benzoate"
piperonyl acetone,55418-52-5,perfuming,"4-(1,3-benzodioxol-5-yl)-2-butanone"
aldioxa,5579-81-7,antimicrobial; astringent,aluminium dihydroxy allantoinate
trimethylcyclohexene-1-methanol,72812-40-9,perfuming,"3-cyclohexene-1-methanol, 1,2,4(or 1,3,5)-trimethyl-"
ethyl 3-phenylglycidate,121-39-1,perfuming,ethyl 3-phenylglycidate
kluyveromyces/lactobacillus/pinus koraiensis seed ferment oil filtrate,,antioxidant; bleaching; skin-conditioning; skin-protecting,kluyveromyces/lactobacillus/pinus koraiensis seed ferment oil filtrate
tetrahydronaphthalenol,529-33-9,perfuming,"1,2,3,4-tetrahydro-1-naphthalenol"
oligopeptide-101 amide,,antimicrobial; antioxidant; antiseborrhoeic; skin-protecting,oligopeptide-101 amide
